record_id,date,site,process,shift,records_processed,processing_time_min,errors_found,downtime_min,quality_score,sla_threshold_min,sla_met,error_rate_pct,quality_flag
100846,2026-01-01,Bengaluru,Enrichment,Morning,206,54.2,2,4.4,91.21,65,Yes,0.971,Normal
102259,2026-01-01,Bengaluru,Enrichment,Morning,645,46.46,4,0.0,91.76,65,Yes,0.62,Normal
103217,2026-01-01,Bengaluru,Enrichment,Evening,493,56.39,7,15.5,96.71,65,Yes,1.42,Normal
103674,2026-01-01,Bengaluru,Enrichment,Evening,595,21.61,2,33.4,94.05,65,Yes,0.336,Normal
101237,2026-01-01,Bengaluru,Publishing,Night,174,24.82,4,34.1,87.61,30,Yes,2.299,Low Quality Score
101913,2026-01-01,Bengaluru,Quality Review,Evening,168,30.43,3,19.2,94.44,60,Yes,1.786,Normal
105170,2026-01-01,Bengaluru,Quality Review,Morning,81,57.25,3,2.1,86.92,60,Yes,3.704,Low Quality Score
102316,2026-01-01,Bengaluru,Validation,Night,214,100.92,1,6.3,92.31,55,No,0.467,SLA Breach
101488,2026-01-01,Chennai,Data Intake,Night,532,37.9,5,0.2,91.94,35,No,0.94,SLA Breach
103234,2026-01-01,Chennai,Data Intake,Evening,348,17.69,5,7.0,88.51,35,Yes,1.437,Low Quality Score
104691,2026-01-01,Chennai,Data Intake,Evening,465,34.41,9,21.5,90.91,35,Yes,1.935,Normal
100381,2026-01-01,Chennai,Enrichment,Morning,373,48.1,5,3.1,96.27,65,Yes,1.34,Normal
101550,2026-01-01,Chennai,Enrichment,Evening,325,39.43,4,0.7,96.67,65,Yes,1.231,Normal
105760,2026-01-01,Chennai,Enrichment,Morning,646,64.34,4,9.7,91.13,65,Yes,0.619,Normal
101739,2026-01-01,Chennai,Quality Review,Night,268,56.51,2,0.0,94.13,60,Yes,0.746,Normal
100901,2026-01-01,Chennai,Validation,Morning,476,27.16,1,10.7,88.16,55,Yes,0.21,Low Quality Score
102646,2026-01-01,Chennai,Validation,Morning,517,42.24,10,10.8,92.9,55,Yes,1.934,Normal
105083,2026-01-01,Chennai,Validation,Evening,100,56.79,1,9.0,93.21,55,No,1.0,SLA Breach
101482,2026-01-01,Hyderabad,Data Intake,Night,323,43.73,6,20.4,95.09,35,No,1.858,SLA Breach
105297,2026-01-01,Hyderabad,Data Intake,Morning,550,25.58,8,1.5,97.77,35,Yes,1.455,Normal
101949,2026-01-01,Hyderabad,Enrichment,Morning,540,68.99,8,5.9,92.09,65,No,1.481,SLA Breach
105462,2026-01-01,Hyderabad,Enrichment,Night,268,51.83,12,37.7,93.28,65,Yes,4.478,High Error Rate
102628,2026-01-01,Hyderabad,Publishing,Night,529,25.36,8,24.1,95.51,30,Yes,1.512,Normal
104598,2026-01-01,Hyderabad,Publishing,Morning,348,22.52,4,17.4,93.67,30,Yes,1.149,Normal
100773,2026-01-01,Hyderabad,Quality Review,Evening,197,48.5,7,2.1,93.52,60,Yes,3.553,High Error Rate
101294,2026-01-01,Hyderabad,Validation,Evening,562,20.92,5,25.4,87.81,55,Yes,0.89,Low Quality Score
101622,2026-01-01,Pune,Enrichment,Evening,533,90.29,5,0.0,92.03,65,No,0.938,SLA Breach
101409,2026-01-01,Pune,Quality Review,Evening,562,34.0,8,15.2,99.64,60,Yes,1.423,Normal
102789,2026-01-01,Pune,Quality Review,Night,86,26.74,3,3.3,89.42,60,Yes,3.488,Low Quality Score
103191,2026-01-01,Pune,Quality Review,Night,458,41.04,5,44.4,91.22,60,Yes,1.092,Normal
104627,2026-01-01,Pune,Quality Review,Evening,625,38.68,1,0.0,95.59,60,Yes,0.16,Normal
100845,2026-01-01,Pune,Validation,Night,179,38.11,4,11.3,94.87,55,Yes,2.235,High Error Rate
102442,2026-01-01,Pune,Validation,Morning,249,47.13,5,18.4,95.56,55,Yes,2.008,High Error Rate
104111,2026-01-01,Pune,Validation,Morning,237,51.2,5,7.8,93.27,55,Yes,2.11,High Error Rate
101996,2026-01-01,Unknown,Publishing,Morning,350,30.02,5,2.1,96.37,30,No,1.429,SLA Breach
100575,2026-01-02,Bengaluru,Data Intake,Evening,378,34.15,4,0.0,86.63,35,Yes,1.058,Low Quality Score
101532,2026-01-02,Bengaluru,Data Intake,Morning,310,46.96,6,0.0,92.91,35,No,1.935,SLA Breach
103399,2026-01-02,Bengaluru,Data Intake,Night,315,15.86,2,0.0,96.69,35,Yes,0.635,Normal
103725,2026-01-02,Bengaluru,Data Intake,Morning,449,37.42,4,8.3,94.03,35,No,0.891,SLA Breach
104361,2026-01-02,Bengaluru,Data Intake,Night,172,62.82,7,8.6,95.42,35,No,4.07,High Error Rate
105719,2026-01-02,Bengaluru,Data Intake,Night,465,26.01,3,0.0,93.59,35,Yes,0.645,Normal
103799,2026-01-02,Bengaluru,Enrichment,Night,312,55.64,5,6.8,100.0,65,Yes,1.603,Normal
100707,2026-01-02,Bengaluru,Quality Review,Evening,125,91.76,4,0.0,96.76,60,No,3.2,High Error Rate
104131,2026-01-02,Bengaluru,Quality Review,Morning,356,33.76,2,35.6,95.94,60,Yes,0.562,Normal
101190,2026-01-02,Bengaluru,Validation,Morning,351,33.75,2,0.0,99.27,55,Yes,0.57,Normal
101807,2026-01-02,Bengaluru,Validation,Evening,99,37.29,5,0.7,94.36,55,Yes,5.051,High Error Rate
104689,2026-01-02,Bengaluru,Validation,Morning,273,32.44,7,21.8,90.94,55,Yes,2.564,High Error Rate
104768,2026-01-02,Bengaluru,Validation,Morning,83,21.84,6,17.5,93.52,55,Yes,7.229,High Error Rate
101070,2026-01-02,Chennai,Data Intake,Morning,340,10.02,4,0.0,88.59,35,Yes,1.176,Low Quality Score
101279,2026-01-02,Chennai,Data Intake,Evening,288,26.42,1,0.0,94.02,35,Yes,0.347,Normal
102202,2026-01-02,Chennai,Data Intake,Morning,558,37.98,8,0.0,96.92,35,No,1.434,SLA Breach
104885,2026-01-02,Chennai,Enrichment,Morning,213,58.83,5,14.4,97.1,65,Yes,2.347,High Error Rate
105603,2026-01-02,Chennai,Enrichment,Morning,117,60.02,4,25.1,95.14,65,Yes,3.419,High Error Rate
100303,2026-01-02,Chennai,Validation,Night,104,127.62,5,11.9,90.16,55,No,4.808,High Error Rate
104055,2026-01-02,Chennai,Validation,Morning,605,46.03,6,23.8,91.31,55,Yes,0.992,Normal
105844,2026-01-02,Hyderabad,Enrichment,Evening,541,30.04,13,10.6,94.69,65,Yes,2.403,High Error Rate
100465,2026-01-02,Hyderabad,Publishing,Night,538,51.77,4,10.7,94.31,30,No,0.743,SLA Breach
100104,2026-01-02,Hyderabad,Quality Review,Morning,208,36.02,3,0.0,94.97,60,Yes,1.442,Normal
102401,2026-01-02,Hyderabad,Quality Review,Night,433,63.64,9,0.0,91.18,60,No,2.079,High Error Rate
101175,2026-01-02,Hyderabad,Validation,Night,439,87.15,7,0.0,90.2,55,No,1.595,SLA Breach
101763,2026-01-02,Pune,Validation,Morning,631,57.75,3,3.7,93.34,55,No,0.475,SLA Breach
102443,2026-01-02,Pune,Validation,Evening,401,29.08,7,12.9,92.29,55,Yes,1.746,Normal
103822,2026-01-02,Pune,Validation,Evening,384,56.45,3,0.0,96.31,55,No,0.781,SLA Breach
104788,2026-01-02,Pune,Validation,Night,91,50.84,6,9.0,92.94,55,Yes,6.593,High Error Rate
103904,2026-01-03,Bengaluru,Publishing,Night,549,26.88,3,6.4,92.25,30,Yes,0.546,Normal
105068,2026-01-03,Bengaluru,Quality Review,Evening,511,95.57,9,0.0,93.25,60,No,1.761,SLA Breach
105880,2026-01-03,Bengaluru,Quality Review,Morning,281,17.47,3,8.1,94.44,60,Yes,1.068,Normal
105142,2026-01-03,Chennai,Data Intake,Morning,641,27.52,2,0.0,93.7,35,Yes,0.312,Normal
103136,2026-01-03,Chennai,Enrichment,Morning,215,32.86,4,3.9,99.02,65,Yes,1.86,Normal
101682,2026-01-03,Chennai,Publishing,Evening,494,26.0,5,22.9,93.31,30,Yes,1.012,Normal
104931,2026-01-03,Chennai,Publishing,Night,543,16.88,2,20.5,95.0,30,Yes,0.368,Normal
100410,2026-01-03,Chennai,Quality Review,Morning,610,31.67,5,2.6,99.07,60,Yes,0.82,Normal
104104,2026-01-03,Chennai,Quality Review,Evening,642,60.94,5,9.3,94.85,60,No,0.779,SLA Breach
104393,2026-01-03,Chennai,Quality Review,Evening,525,103.48,6,0.0,96.6,60,No,1.143,SLA Breach
100801,2026-01-03,Chennai,Unknown,Evening,424,22.15,2,0.0,94.3,35,Yes,0.472,Normal
105078,2026-01-03,Chennai,Validation,Evening,583,56.92,3,25.2,98.05,55,No,0.515,SLA Breach
105916,2026-01-03,Chennai,Validation,Morning,404,37.16,5,19.8,90.54,55,Yes,1.238,Normal
100790,2026-01-03,Hyderabad,Publishing,Night,298,17.17,5,11.8,88.31,30,Yes,1.678,Low Quality Score
